TMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
TMS-00157,ENG,COR-HWH-ASN,ASN,199.38,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-08-19,2026-08-22,14,199,True,8,92,PENDING
TMS-00158,ENG,COR-CNB-DDU,FTP,518.03,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-08-26,2026-09-02,3,185,True,10,88,IN_PROGRESS
TMS-00159,ENG,COR-CNB-DDU,FTP,515.16,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-08-28,2026-08-31,5,215,True,8,88,PENDING
TMS-00160,ENG,COR-NDLS-CNB,ALJN,131.01,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-22,2026-08-29,7,178,True,8,95,PENDING
TMS-00161,ENG,COR-CNB-DDU,ALD,633.19,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-07-22,2026-07-29,38,145,True,10,88,PENDING
TMS-00162,ENG,COR-HWH-ASN,HWH,1.94,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-08-20,2026-08-23,13,277,True,8,92,PENDING
TMS-00163,ENG,COR-NDLS-CNB,CNB,438.5,POINTS_CROSSING_WEAR,Points & crossing wear,4,5,2026-08-13,2026-08-28,8,250,True,6,95,COMPLETED
TMS-00164,ENG,COR-NDLS-CNB,TDL,203.45,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-09-03,2026-09-10,0,208,True,10,95,COMPLETED
TMS-00165,ENG,COR-HWH-ASN,DGR,157.63,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-26,2026-09-02,3,157,True,8,92,PENDING
TMS-00166,ENG,COR-NDLS-CNB,GZB,22.41,USFD_FLAW,USFD detected internal flaw,4,3,2026-08-09,2026-08-12,24,148,True,6,95,PENDING
TMS-00167,ENG,COR-CNB-DDU,MZP,721.32,BRIDGE_APPROACH,Bridge approach track attention,4,5,2026-09-04,2026-09-11,0,181,True,10,88,COMPLETED
TMS-00168,ENG,COR-CNB-DDU,CNB,438.37,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-15,2026-08-22,14,209,True,8,88,PENDING
TMS-00169,ENG,COR-NDLS-CNB,GZB,24.09,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,4,2026-09-02,2026-09-17,0,349,True,12,95,PENDING
TMS-00170,ENG,COR-NDLS-CNB,GZB,24.51,BRIDGE_APPROACH,Bridge approach track attention,4,4,2026-08-15,2026-08-22,14,169,True,10,95,COMPLETED
TMS-00171,ENG,COR-NDLS-CNB,ETW,309.66,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,5,2026-08-28,2026-09-04,1,193,True,8,95,PENDING
TMS-00172,ENG,COR-SBC-JTJ,BWT,65.71,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-09-04,2026-09-11,0,174,True,10,65,PENDING
TMS-00173,ENG,COR-BRC-ST,BH,69.88,LWR_DESTRESSING,LWR de-stressing,3,3,2026-07-22,2026-08-06,30,390,True,14,78,PENDING
TMS-00174,ENG,COR-BSL-NGP,WR,291.31,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-01,2026-08-08,28,196,True,8,84,PENDING
TMS-00175,ENG,COR-NDLS-CNB,TDL,203.2,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-08-22,2026-08-29,7,156,True,10,95,PENDING
TMS-00176,ENG,COR-SBC-JTJ,BNC,3.82,GAUGE_WIDENING,Gauge widening beyond limit,4,2,2026-08-25,2026-09-01,4,127,True,10,65,PENDING
TMS-00177,ENG,COR-CNB-DDU,CNB,439.57,LWR_DESTRESSING,LWR de-stressing,3,5,2026-09-03,2026-09-18,0,442,True,14,88,PENDING
TMS-00178,ENG,COR-BRC-ST,ANND,34.09,POINTS_CROSSING_WEAR,Points & crossing wear,3,4,2026-08-29,2026-09-13,0,218,True,6,78,PENDING
TMS-00179,ENG,COR-CNB-DDU,MZP,719.94,LWR_DESTRESSING,LWR de-stressing,3,5,2026-08-29,2026-09-13,0,286,True,14,88,PENDING
TMS-00180,ENG,COR-SBC-JTJ,SBC,0.78,LWR_DESTRESSING,LWR de-stressing,3,1,2026-08-28,2026-09-12,0,391,True,14,65,PENDING
TMS-00181,ENG,COR-SBC-JTJ,KPN,111.56,BRIDGE_APPROACH,Bridge approach track attention,4,2,2026-09-01,2026-09-08,0,168,True,10,65,PENDING
TMS-00182,ENG,COR-BRC-ST,BH,69.13,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-08-17,2026-08-20,16,266,True,8,78,PENDING
TMS-00183,ENG,COR-CNB-DDU,DDU,801.65,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-09-02,2026-09-09,0,235,True,10,88,PENDING
TMS-00184,ENG,COR-BRC-ST,ST,130.09,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-08-31,2026-09-03,2,195,True,8,78,COMPLETED
TMS-00185,ENG,COR-NDLS-CNB,ETW,311.78,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-31,2026-09-15,0,329,True,14,95,PENDING
TMS-00186,ENG,COR-SBC-JTJ,BWT,65.55,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-16,2026-08-31,5,198,True,6,65,PENDING
TMS-00187,ENG,COR-BRC-ST,BH,70.45,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-08-19,2026-08-26,10,203,True,10,78,PENDING
TMS-00188,ENG,COR-BRC-ST,ANND,34.66,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-08-28,2026-09-04,1,210,True,8,78,PENDING
TMS-00189,ENG,COR-CNB-DDU,FTP,515.88,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,5,4,2026-09-01,2026-09-08,0,184,True,8,88,PENDING
TMS-00190,ENG,COR-CNB-DDU,MZP,719.36,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-09-01,2026-09-08,0,187,True,8,88,PENDING
TMS-00191,ENG,COR-BSL-NGP,AK,128.07,BRIDGE_APPROACH,Bridge approach track attention,4,4,2026-08-07,2026-08-14,22,209,True,10,84,COMPLETED
TMS-00192,ENG,COR-BRC-ST,BH,71.42,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,4,2026-08-31,2026-09-15,0,376,True,12,78,PENDING
TMS-00193,ENG,COR-HWH-ASN,DGR,156.35,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-29,2026-09-13,0,317,True,14,92,PENDING
TMS-00194,ENG,COR-CNB-DDU,ALD,635.28,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,5,2026-09-02,2026-09-17,0,353,True,12,88,PENDING
TMS-00195,ENG,COR-BSL-NGP,WR,288.22,USFD_FLAW,USFD detected internal flaw,5,4,2026-08-29,2026-09-01,4,152,True,6,84,PENDING
TMS-00196,ENG,COR-NDLS-CNB,ALJN,129.49,BRIDGE_APPROACH,Bridge approach track attention,3,3,2026-08-17,2026-08-24,12,224,True,10,95,PENDING
TMS-00197,ENG,COR-HWH-ASN,BWN,106.2,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-08-26,2026-09-02,3,231,True,8,92,PENDING
TMS-00198,ENG,COR-CNB-DDU,MZP,720.99,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-09-02,2026-09-09,0,186,True,10,88,PENDING
TMS-00199,ENG,COR-NDLS-CNB,CNB,441.75,BRIDGE_APPROACH,Bridge approach track attention,4,5,2026-08-20,2026-08-27,9,205,True,10,95,PENDING
TMS-00200,ENG,COR-CNB-DDU,MZP,718.66,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-08-30,2026-09-06,0,148,True,10,88,PENDING
TMS-00201,ENG,COR-NDLS-CNB,TDL,205.4,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-08-13,2026-08-16,20,237,True,8,95,PENDING
TMS-00202,ENG,COR-HWH-ASN,HWH,1.0,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-08-12,2026-08-15,21,309,True,8,92,IN_PROGRESS
TMS-00203,ENG,COR-BRC-ST,ST,128.3,GAUGE_WIDENING,Gauge widening beyond limit,3,3,2026-09-01,2026-09-08,0,138,True,10,78,PENDING
TMS-00204,ENG,COR-BSL-NGP,NGP,358.4,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-08-30,2026-09-06,0,238,True,8,84,PENDING
TMS-00205,ENG,COR-SBC-JTJ,KPN,110.06,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,2,2026-08-25,2026-09-09,0,265,True,12,65,PENDING
TMS-00206,ENG,COR-BRC-ST,ST,130.5,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-01,2026-08-16,20,401,True,14,78,PENDING
TMS-00207,ENG,COR-NDLS-CNB,ALJN,128.53,BRIDGE_APPROACH,Bridge approach track attention,4,5,2026-08-26,2026-09-02,3,251,True,10,95,COMPLETED
TMS-00208,ENG,COR-HWH-ASN,ASN,199.51,BRIDGE_APPROACH,Bridge approach track attention,4,5,2026-07-30,2026-08-06,30,196,True,10,92,IN_PROGRESS
TMS-00209,ENG,COR-NDLS-CNB,CNB,440.39,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-06,2026-08-13,23,266,True,8,95,PENDING
TMS-00210,ENG,COR-CNB-DDU,MZP,721.45,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-27,2026-09-11,0,402,True,14,88,PENDING
TMS-00211,ENG,COR-CNB-DDU,MZP,718.03,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-09-03,2026-09-06,0,256,True,8,88,PENDING
TMS-00212,ENG,COR-NDLS-CNB,ALJN,131.17,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-09-05,2026-09-20,0,317,True,12,95,COMPLETED
TMS-00213,ENG,COR-NDLS-CNB,TDL,204.57,LWR_DESTRESSING,LWR de-stressing,3,5,2026-09-05,2026-09-20,0,355,True,14,95,PENDING
TMS-00214,ENG,COR-CNB-DDU,FTP,515.91,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-08-29,2026-09-01,4,239,True,8,88,PENDING
TMS-00215,ENG,COR-NDLS-CNB,GZB,25.38,LWR_DESTRESSING,LWR de-stressing,4,4,2026-08-26,2026-09-10,0,368,True,14,95,PENDING
TMS-00216,ENG,COR-NDLS-CNB,NDLS,-1.79,USFD_FLAW,USFD detected internal flaw,5,3,2026-08-31,2026-09-03,2,137,True,6,95,PENDING
TMS-00217,ENG,COR-BRC-ST,ANND,35.96,BRIDGE_APPROACH,Bridge approach track attention,4,2,2026-08-26,2026-09-02,3,199,True,10,78,PENDING
TMS-00218,ENG,COR-SBC-JTJ,JTJ,147.67,USFD_FLAW,USFD detected internal flaw,4,3,2026-09-02,2026-09-05,0,120,True,6,65,PENDING
TMS-00219,ENG,COR-BRC-ST,ST,131.25,LWR_DESTRESSING,LWR de-stressing,3,4,2026-09-03,2026-09-18,0,351,True,14,78,PENDING
TMS-00220,ENG,COR-HWH-ASN,HWH,-0.03,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-08-18,2026-08-25,11,186,True,10,92,PENDING
